n07908411,absinth
n07746334,acerola
n12742290,akee
n02627037,albacore
n07884567,alcohol
n07889510,ale
n02531114,alewife
n12549420,alfalfa
n07801779,alfalfa
n12331066,allspice
n11700864,allspice
n07814007,allspice
n12645174,almond
n07750586,almond
n12643688,amarelle
n07758125,amarelle
n07610295,ambrosia
n07610502,ambrosia
n02533834,anchovy
n07826340,angelica
n12931906,angelica
n07826453,angelica
n12943049,anise
n07826653,anise
n07908647,anisette
n07886463,aperitif
n07581346,appetizer
n12633994,apple
n07739125,apple
n07903543,applejack
n07825850,applesauce
n07750872,apricot
n12640607,apricot
n07902799,aquavit
n07902937,arrack
n11959632,artichoke
n07718747,artichoke
n07808675,aspic
n07764847,avocado
n11706761,avocado
n07693725,bagel
n07687381,baguet
n07753592,banana
n12352287,banana
n07683360,bannock
n07578093,banquet
n02790669,barbecue
n07576781,barbecue
n07654148,barbecue
n07803093,barley
n13136316,bean
n07724943,bean
n07771082,beechnut
n07886849,beer
n11832214,beet
n07719839,beet
n11832480,beetroot
n13137409,berry
n07742704,berry
n07881800,beverage
n07692517,bialy
n07743224,bilberry
n12248574,bilberry
n12248359,bilberry
n07693972,biscuit
n07584332,bisque
n07577374,bite
n07889814,bitter
n07903101,bitters
n07744811,blackberry
n07743544,blueberry
n12246232,blueberry
n02627292,bluefin
n07887461,bock
n07599649,bonbon
n02629230,bonito
n02627835,bonito
n02874642,bootleg
n07816398,borage
n12816508,borage
n07584423,borsch
n07584938,bouillon
n07568991,bran
n07903208,brandy
n07679356,bread
n07574602,breakfast
n07886572,brew
n07691539,brioche
n02532918,brisling
n07599783,brittle
n11876803,broccoli
n07714990,broccoli
n07584593,broth
n07585208,broth
n07574923,brunch
n12601494,buckwheat
n07803310,buckwheat
n07803408,bulgur
n07680932,bun
n07589724,burgoo
n07589872,burgoo
n07848338,butter
n07847047,buttermilk
n07771891,butternut
n12318965,butternut
n07600394,butterscotch
n07696527,butty
n11875691,cabbage
n07713895,cabbage
n07607832,cachou
n07581607,canape
n07597365,candy
n12164656,cantaloupe
n11865071,caper
n07822053,caper
n01792530,capon
n07601809,caramel
n07595180,caramel
n07816726,caraway
n12934479,caraway
n07822323,cardamom
n12358293,cardamom
n07730033,cardoon
n11959862,cardoon
n12493426,carob
n12493208,carob
n01439514,carp
n07730207,carrot
n07756838,casaba
n07772147,cashew
n12759273,cashew
n07580359,casserole
n02978753,casserole
n02517442,catfish
n07822197,catsup
n11876634,cauliflower
n07715103,cauliflower
n07822518,cayenne
n07721942,cayenne
n07730708,celeriac
n07730406,celery
n12141495,cereal
n07681450,challah
n07893642,champagne
n11832671,chard
n07720277,chard
n07852919,cheddar
n07850329,cheese
n12641413,cherry
n07757132,cherry
n12932706,chervil
n07816839,chervil
n12262553,chestnut
n07772274,chestnut
n04972350,chestnut
n02388735,chestnut
n01791625,chicken
n12515925,chickpea
n07726095,chickpea
n12515711,chickpea
n11953038,chicory
n07731284,chicory
n07730855,chicory
n11953610,chicory
n07721456,chili
n07864934,chili
n12435152,chives
n07817024,chives
n04972451,chocolate
n07565161,chow
n02112137,chow
n07642833,chowchow
n07587441,chowder
n03027250,chuck
n07823105,chutney
n07921455,cider
n07814203,cinnamon
n11704791,cinnamon
n02539573,cisco
n12709349,citron
n07750449,citron
n07747055,citrus
n12707781,citrus
n07850219,clabber
n07576969,clambake
n04964001,claret
n07895435,claret
n07738224,cling
n12339831,clove
n12339526,clove
n07818422,clove
n07814487,clove
n02386141,cob
n01858780,cob
n12289433,cobnut
n01959985,cockle
n07911677,cocktail
n07581775,cocktail
n07755089,cocoa
n07922764,cocoa
n07772935,coconut
n12587803,coconut
